T,M,H,group,n,routable,confident,confident_correct,confident_wrong,coverage,confident_wrong_rate,precision_when_confident,top1_accuracy,useful_coverage
0.400,0.000,0.800,all,102,92,90,65,25,0.882,0.245,0.722,0.739,0.707
0.400,0.000,0.800,project=bank-of-anthos,34,30,30,21,9,0.882,0.265,0.700,0.733,0.700
0.400,0.000,0.800,project=train-ticket,34,31,30,19,11,0.882,0.324,0.633,0.645,0.613
0.400,0.000,0.800,project=sock-shop,34,31,30,25,5,0.882,0.147,0.833,0.839,0.806
0.400,0.000,0.800,lang=zh,51,46,43,31,12,0.843,0.235,0.721,0.739,0.674
0.400,0.000,0.800,lang=en,51,46,47,34,13,0.922,0.255,0.723,0.739,0.739
0.400,0.000,0.800,has_node=yes,43,38,40,27,13,0.930,0.302,0.675,0.711,0.711
0.400,0.000,0.800,has_node=no,59,54,50,38,12,0.847,0.203,0.760,0.759,0.704
0.400,0.000,0.850,all,102,92,90,65,25,0.882,0.245,0.722,0.739,0.707
0.400,0.000,0.850,project=bank-of-anthos,34,30,30,21,9,0.882,0.265,0.700,0.733,0.700
0.400,0.000,0.850,project=train-ticket,34,31,30,19,11,0.882,0.324,0.633,0.645,0.613
0.400,0.000,0.850,project=sock-shop,34,31,30,25,5,0.882,0.147,0.833,0.839,0.806
0.400,0.000,0.850,lang=zh,51,46,43,31,12,0.843,0.235,0.721,0.739,0.674
0.400,0.000,0.850,lang=en,51,46,47,34,13,0.922,0.255,0.723,0.739,0.739
0.400,0.000,0.850,has_node=yes,43,38,40,27,13,0.930,0.302,0.675,0.711,0.711
0.400,0.000,0.850,has_node=no,59,54,50,38,12,0.847,0.203,0.760,0.759,0.704
0.400,0.000,0.900,all,102,92,90,65,25,0.882,0.245,0.722,0.739,0.707
0.400,0.000,0.900,project=bank-of-anthos,34,30,30,21,9,0.882,0.265,0.700,0.733,0.700
0.400,0.000,0.900,project=train-ticket,34,31,30,19,11,0.882,0.324,0.633,0.645,0.613
0.400,0.000,0.900,project=sock-shop,34,31,30,25,5,0.882,0.147,0.833,0.839,0.806
0.400,0.000,0.900,lang=zh,51,46,43,31,12,0.843,0.235,0.721,0.739,0.674
0.400,0.000,0.900,lang=en,51,46,47,34,13,0.922,0.255,0.723,0.739,0.739
0.400,0.000,0.900,has_node=yes,43,38,40,27,13,0.930,0.302,0.675,0.711,0.711
0.400,0.000,0.900,has_node=no,59,54,50,38,12,0.847,0.203,0.760,0.759,0.704
0.400,0.000,0.950,all,102,92,90,65,25,0.882,0.245,0.722,0.739,0.707
0.400,0.000,0.950,project=bank-of-anthos,34,30,30,21,9,0.882,0.265,0.700,0.733,0.700
0.400,0.000,0.950,project=train-ticket,34,31,30,19,11,0.882,0.324,0.633,0.645,0.613
0.400,0.000,0.950,project=sock-shop,34,31,30,25,5,0.882,0.147,0.833,0.839,0.806
0.400,0.000,0.950,lang=zh,51,46,43,31,12,0.843,0.235,0.721,0.739,0.674
0.400,0.000,0.950,lang=en,51,46,47,34,13,0.922,0.255,0.723,0.739,0.739
