mode,k,questions,recall_at_k,mrr_at_k,hit_at_k,precision_at_k,avg_passages,avg_context_chars
BM25,2,15,0.228,0.333,0.400,0.233,1.467,1411.533
BM25,4,15,0.283,0.333,0.400,0.167,2.933,2714.667
BM25,6,15,0.297,0.344,0.467,0.122,4.400,3964.867
BM25,8,15,0.397,0.362,0.600,0.119,5.733,5272.200
BM25,10,15,0.410,0.362,0.600,0.113,6.933,6379.467
BM25,12,15,0.482,0.368,0.667,0.119,8.133,7194.533
BM25,16,15,0.529,0.368,0.667,0.119,10.200,9097.000
BM25,20,15,0.542,0.368,0.667,0.114,11.933,10988.600
BM25,24,15,0.589,0.368,0.667,0.115,13.133,11970.467
BM25,28,15,0.589,0.368,0.667,0.112,14.200,12797.867
BM25,32,15,0.589,0.368,0.667,0.110,15.267,13653.667
BM25,40,15,0.589,0.368,0.667,0.109,16.267,14303.733
BM25,48,15,0.589,0.368,0.667,0.109,16.467,14395.600
BM25,64,15,0.589,0.368,0.667,0.109,16.467,14395.600
BM25,80,15,0.589,0.368,0.667,0.109,16.467,14395.600
EMBEDDING,2,15,0.494,0.767,0.800,0.500,2.000,1520.000
EMBEDDING,4,15,0.591,0.789,0.867,0.333,4.000,2988.267
EMBEDDING,6,15,0.619,0.802,0.933,0.244,6.000,4642.133
EMBEDDING,8,15,0.638,0.802,0.933,0.200,8.000,5756.800
EMBEDDING,10,15,0.683,0.802,0.933,0.173,10.000,7732.400
EMBEDDING,12,15,0.736,0.802,0.933,0.161,12.000,9402.333
EMBEDDING,16,15,0.780,0.802,0.933,0.129,16.000,13190.400
EMBEDDING,20,15,0.838,0.806,1.000,0.113,20.000,16673.667
EMBEDDING,24,15,0.873,0.806,1.000,0.105,23.800,19784.067
EMBEDDING,28,15,0.895,0.806,1.000,0.097,26.933,21958.600
EMBEDDING,32,15,0.895,0.806,1.000,0.091,29.600,23619.467
EMBEDDING,40,15,0.895,0.806,1.000,0.085,33.267,25688.467
EMBEDDING,48,15,0.895,0.806,1.000,0.084,34.467,26333.467
EMBEDDING,64,15,0.895,0.806,1.000,0.083,34.533,26341.733
EMBEDDING,80,15,0.895,0.806,1.000,0.083,34.533,26341.733
RRF,2,15,0.478,0.733,0.800,0.467,2.000,1399.467
RRF,4,15,0.544,0.733,0.800,0.300,4.000,2955.467
RRF,6,15,0.556,0.747,0.867,0.211,6.000,4691.800
RRF,8,15,0.605,0.755,0.933,0.192,8.000,6446.667
RRF,10,15,0.627,0.755,0.933,0.160,10.000,8563.333
RRF,12,15,0.702,0.755,0.933,0.156,12.000,10548.800
RRF,16,15,0.807,0.755,0.933,0.138,16.000,14421.133
RRF,20,15,0.818,0.755,0.933,0.113,20.000,18707.133
RRF,24,15,0.884,0.755,0.933,0.108,23.733,20935.800
RRF,28,15,0.917,0.757,1.000,0.101,26.533,22539.067
RRF,32,15,0.917,0.757,1.000,0.096,28.600,23740.733
RRF,40,15,0.917,0.757,1.000,0.090,31.267,25256.267
RRF,48,15,0.917,0.757,1.000,0.088,33.133,26222.733
RRF,64,15,0.917,0.757,1.000,0.088,33.200,26231.000
RRF,80,15,0.917,0.757,1.000,0.088,33.200,26231.000
